"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS27A",1.7638851779981e-226,-1.33886559323734,0.988,0.995,3.76130875356315e-222
"PTMA",7.03342881212831e-225,-1.49398622540083,0.983,0.998,1.49980835989824e-220
"RPL13",1.38675457030366e-224,-1.23706427490553,0.995,0.999,2.95711544571553e-220
"EEF1A1",4.83603837533525e-221,-1.42547710810319,0.986,0.998,1.03123682315649e-216
"RPL23A",2.04267771147177e-207,-1.24278911351894,0.975,0.987,4.3558059519424e-203
"RPS3A",7.11428815175648e-207,-1.30888448586726,0.961,0.989,1.51705080548055e-202
"B2M",2.86557943716093e-205,-1.29661948673617,0.998,1,6.11056159180198e-201
"RPS6",6.06814941353167e-205,-1.11637368824468,0.992,0.995,1.29397218094149e-200
"RPS15A",8.63120480403676e-197,-1.27017747815073,0.986,0.992,1.8405181124128e-192
"RPL13A",1.49304600578028e-196,-1.09461596918426,0.999,0.999,3.18377130272586e-192
"RPL35A",1.0371314046622e-190,-1.18746817473653,0.972,0.983,2.21157900730168e-186
"TMSB4X",5.36811839405562e-188,-1.48221249057733,0.982,0.999,1.14469756634842e-183
"RPS20",1.17568526044987e-187,-1.43264717043546,0.896,0.955,2.50703124938331e-183
"TPT1",5.40611867194372e-187,-1.28610286992354,0.92,0.978,1.15280074560528e-182
"RPL9",5.3643207840234e-184,-1.22658735400504,0.956,0.968,1.14388776398515e-179
"RPL34",1.03327051881407e-180,-1.19808045352634,0.992,0.991,2.20334605431911e-176
"RPL27A",1.91810758326295e-180,-1.10485481345664,0.986,0.992,4.09017261054992e-176
"RPS3",1.45595496727214e-178,-1.15505849067257,0.981,0.995,3.10467837221112e-174
"RPLP2",3.21503000119377e-177,-1.20179369139737,0.985,0.996,6.8557299745456e-173
"RPS2",1.91887419045279e-173,-1.14375008138617,0.993,0.993,4.09180732372152e-169
"RPS23",2.62560218330881e-172,-1.1641499931568,0.969,0.987,5.59883409568771e-168
"VIM",7.75461458729212e-172,-1.86789318083417,0.492,0.879,1.65359401459417e-167
"RPL21",3.48212772500437e-169,-1.23115854348509,0.982,0.986,7.42528916079931e-165
"RPS9",5.3617842950737e-168,-1.03656428083567,0.969,0.986,1.14334688308152e-163
"RPL30",1.12658816969455e-167,-1.25882931179768,0.96,0.973,2.40233661305666e-163
"RPL23",2.05220589320595e-166,-1.25480411400821,0.857,0.939,4.37612384667237e-162
"HLA-A",2.44569890308551e-165,-1.47539918529047,0.918,0.953,5.21520834093954e-161
"RPL24",4.44538196906984e-165,-1.05243883294339,0.93,0.968,9.47933251084453e-161
"RPL14",5.82418196720159e-163,-1.21306462168328,0.934,0.96,1.24194856268607e-158
"RPS8",6.3720387536288e-163,-1.00197909211813,0.981,0.992,1.3587735438238e-158
"RPL39",3.73643040043887e-162,-1.3167610985799,0.96,0.986,7.96756418589584e-158
"RPL10A",1.01479260841977e-158,-1.10369308486173,0.944,0.966,2.16394375819433e-154
"RPL32",4.81771402878423e-158,-1.07837340581438,0.988,0.995,1.02732933949795e-153
"RPL18A",2.78742376841887e-155,-1.01282152509214,0.989,0.992,5.9439024437764e-151
"MALAT1",3.46204929772595e-155,-1.29405674679785,0.974,0.994,7.38247392247081e-151
"RPS24",1.51941572926281e-154,-1.05973883681816,0.964,0.978,3.24000210108001e-150
"RPS25",2.92621358505003e-154,-1.09657821530483,0.968,0.983,6.23985784876069e-150
"RPL7",2.98167758673861e-153,-1.02207217273089,0.958,0.981,6.35812928596142e-149
"RPL37",2.02562779711977e-152,-1.16188068736166,0.944,0.981,4.31944871457819e-148
"RPL11",6.36739911721772e-152,-1.0024488579573,0.988,0.994,1.35778418775551e-147
"RPL26",1.44095856144199e-151,-1.05653045113419,0.969,0.985,3.07270003641891e-147
"RPS11",7.46283290222766e-151,-1.1271994001668,0.918,0.939,1.59137448807103e-146
"HLA-B",8.10993943916785e-149,-1.16709634533303,0.908,0.985,1.72936348600815e-144
"RPL31",8.69302576945932e-149,-1.22108982129641,0.937,0.967,1.85370081507951e-144
"RPL5",1.64433595208724e-141,-1.02379925830569,0.938,0.961,3.50638198423082e-137
"RPL22",3.3565748032125e-141,-1.11120553789937,0.875,0.936,7.15756011037034e-137
"ACTB",2.33465839369984e-138,-1.22101696969973,0.935,0.985,4.97842555872554e-134
"RPS13",2.22249304160628e-134,-1.04728540998387,0.937,0.952,4.73924416192123e-130
"HLA-E",1.63914562438757e-133,-1.52625724795469,0.679,0.858,3.49531412944405e-129
"RPL27",4.06723438042265e-132,-1.01220831046779,0.929,0.969,8.67297059281325e-128
"RPL28",4.79180662619769e-132,-1.08763829220464,0.972,0.991,1.0218048449704e-127
"IGHG2",2.83024567699761e-129,3.283177348999,0.466,0.05,6.0352158816297e-125
"PRDX4",2.77899928908526e-127,1.14179685183207,0.666,0.186,5.92593808404541e-123
"HLA-C",3.94177976398017e-127,-1.09149019367483,0.916,0.965,8.40545116871132e-123
"RPS27",5.93632878996056e-125,-1.02952459951946,0.994,0.993,1.26586275117119e-120
"SERPINA1",8.65519806442106e-121,3.99641447562371,0.57,0.123,1.84563443525715e-116
"S100A6",6.71340870746294e-120,-1.43946661967789,0.49,0.807,1.4315672727794e-115
"IGHGP",6.07653416747949e-118,5.1177104676,0.475,0.083,1.29576014587333e-113
"TMSB10",4.49053956713149e-117,-1.11013150766459,0.919,0.983,9.57562657295118e-113
"TOMM7",6.15294305306197e-116,-1.22118800467966,0.696,0.848,1.31205357663493e-111
"MZB1",1.02221394029491e-114,1.96112891362618,0.481,0.075,2.17976900628487e-110
"DERL3",4.3415286330524e-113,1.0672332634352,0.41,0.028,9.25787565712094e-109
"IGHG1",6.50149437694282e-112,4.82689840952306,0.508,0.125,1.38637866093929e-107
"ARHGDIB",1.36882648194048e-109,-1.43933282339428,0.335,0.708,2.91888559008988e-105
"RPS10",4.75450448610586e-107,-1.16072911836711,0.777,0.863,1.01385053661721e-102
"CD79A",1.13942855265202e-104,1.02049363019383,0.415,0.039,2.42971744567516e-100
"MYL12A",2.2338139853555e-104,-1.22104519569006,0.545,0.812,4.76338494237207e-100
"JCHAIN",2.63001741776295e-104,2.15810990604684,0.474,0.087,5.6082491416377e-100
"JUNB",3.09108759608595e-104,-1.43699278764895,0.695,0.867,6.59143518989368e-100
"XBP1",4.01690024001973e-103,1.27672184580886,0.732,0.35,8.56563807181807e-99
"HMGB1",2.67478434502546e-102,-1.21845200543491,0.777,0.858,5.70371013733229e-98
"IGLC2",7.85303018555627e-102,4.64462079456591,0.548,0.156,1.67458015676802e-97
"CALM1",1.6142416758877e-101,-1.26867177030461,0.67,0.813,3.44220894966292e-97
"DDX5",3.03183785026733e-100,-1.1088146494431,0.75,0.843,6.46509103191006e-96
"RPSA",7.5637010424041e-98,-1.11068702222954,0.886,0.907,1.61288361028225e-93
"MTRNR2L8",3.73296238762879e-96,-2.05542552264097,0.503,0.744,7.96016899537962e-92
"HSPA8",1.85541276271677e-95,-1.47298425284894,0.726,0.834,3.95648217521724e-91
"IGHG4",4.2853449424843e-95,3.96560064786011,0.517,0.18,9.13806955535353e-91
"RPS29",6.33884642048484e-95,-1.25074715490441,0.951,0.961,1.35169561070419e-90
"BTF3",1.43574978202766e-94,-1.02895569769401,0.705,0.829,3.06159283519577e-90
"IGHG3",5.67662062569831e-94,5.08997197639546,0.542,0.213,1.21048258222391e-89
"SRGN",2.63651128341042e-92,-1.25154184236069,0.579,0.792,5.62209666074437e-88
"AMBP",1.25179719776742e-89,2.84743598898747,0.487,0.125,2.66933234451925e-85
"HNRNPA1",2.90045123207051e-88,-1.07899491941216,0.658,0.799,6.18492220726716e-84
"ACTG1",1.35946816635778e-86,-1.03897588539874,0.743,0.883,2.89892991794134e-82
"ANXA1",2.97935876885383e-86,-1.80997303632043,0.198,0.534,6.3531846387039e-82
"IGKC",1.8188298060978e-84,4.52885275166874,0.635,0.327,3.87847267852294e-80
"ITM2B",3.12479865924211e-84,-1.0108191630276,0.65,0.839,6.66332066096788e-80
"NAP1L1",8.18682849337615e-84,-1.16144530167355,0.462,0.714,1.74575930792753e-79
"SSR4",7.64920805220058e-83,1.88581383043242,0.825,0.646,1.63111712505125e-78
"IGLV3-1",1.35675291470195e-79,1.05113826905158,0.272,0.007,2.89313991531043e-75
"RPS4Y1",1.93376361840735e-78,-1.27299490648662,0.361,0.634,4.12355753989184e-74
"TF",2.07354378331111e-77,2.74138987933426,0.296,0.025,4.42162476353262e-73
"HNRNPA2B1",7.00712095743885e-77,-1.0859683654344,0.614,0.756,1.49419847296426e-72
"IGKV1-12",7.98778292571122e-76,1.22679854099141,0.288,0.019,1.70331483107866e-71
"IGLC3",1.27170804045609e-74,3.54536326804946,0.505,0.152,2.71179022546856e-70
"MTRNR2L12",2.19564562768032e-74,-2.00673965881412,0.493,0.7,4.68199473646552e-70
"IGHM",6.56233203265092e-74,2.21315682528191,0.295,0.024,1.39935168264248e-69
"FGL1",2.54620371810636e-73,1.81059553734241,0.276,0.019,5.42952480849e-69
"IFITM2",4.49007378419369e-72,-1.05634900220452,0.445,0.735,9.57463333741462e-68
"NBEAL1",8.12001224779733e-72,-1.10713146474286,0.39,0.65,1.7315114117203e-67
"ID3",3.03175943087087e-71,-1.40381727536479,0.146,0.471,6.46492381038903e-67
"MYL12B",2.28835954178778e-70,-1.06133247460298,0.466,0.707,4.87969788690826e-66
"SH3BGRL3",4.0347201242311e-70,-1.14616577773633,0.607,0.782,8.60363719291041e-66
"APOE",1.00240835828464e-69,5.00724243992064,0.456,0.172,2.13753558320616e-65
"RPL36A",1.34594771428762e-68,-1.14563259134087,0.61,0.788,2.87009890594693e-64
"MTRNR2L10",1.70466860792093e-68,-1.85115675896787,0.34,0.6,3.6350353395306e-64
"CHCHD10",2.71206368278303e-68,1.64952860046764,0.487,0.163,5.78320459716652e-64
"FXYD5",4.78507055023175e-68,-1.24647588758061,0.284,0.559,1.02036844413142e-63
"HSP90AB1",1.7811346117972e-67,-1.13562207283333,0.825,0.847,3.79809144619635e-63
"MGST1",3.62244062752681e-66,1.81784474995418,0.277,0.031,7.72449239413818e-62
"SPINK1",4.11842501738692e-66,2.59038840415269,0.238,0.011,8.78212950707586e-62
"SLC2A3",6.03672855236391e-66,-1.20729551208784,0.126,0.423,1.28727199650608e-61
"PABPC1",6.16572303273517e-66,-1.07845537588859,0.616,0.75,1.31477877950045e-61
"ORM1",1.17090634905057e-65,3.82673218095605,0.284,0.036,2.49684069871545e-61
"IGFBP7",1.19268001625804e-65,-1.48216879163268,0.192,0.506,2.54327086666865e-61
"BTG1",1.66720101326535e-65,-1.34433503883584,0.697,0.788,3.55513944068703e-61
"NTS",4.78153422698988e-65,3.18771287308379,0.218,0.003,1.01961435856332e-60
"APOC1",6.91088625215314e-65,4.09592908542118,0.458,0.185,1.47367738440914e-60
"GLTSCR2",9.9912207525269e-65,-1.01398080282721,0.548,0.703,2.13052791326884e-60
"VTN",2.02128295663435e-64,1.87155827606308,0.293,0.043,4.31018377672709e-60
"SERINC2",4.9058913423528e-64,1.32248932061835,0.233,0.011,1.04613226984331e-59
"GNG11",2.58628753711151e-63,-1.61857274116823,0.112,0.396,5.51499954413657e-59
"GC",3.88992327761139e-62,1.93405954404471,0.253,0.025,8.29487239717852e-58
"S100A4",1.31441586735037e-61,-2.28487273366026,0.322,0.541,2.80286039553792e-57
"CRIP2",1.63902843211036e-61,-1.27696823684658,0.154,0.444,3.49506422863214e-57
"HBA2",1.45863869038065e-60,2.36778937238919,0.274,0.033,3.1104011433677e-56
"CD52",4.64294386840119e-59,-2.51186373967925,0.228,0.461,9.9006135049787e-55
"SPARC",5.14394417885614e-59,-1.00590703629083,0.147,0.466,1.09689465669928e-54
"PLVAP",1.77726026485307e-58,-1.77179616068708,0.047,0.287,3.78982978877268e-54
"FKBP1A",1.78177165406156e-58,-1.33263079889594,0.391,0.621,3.79944987512087e-54
"MGP",2.06000120694201e-58,-1.31800395546402,0.132,0.426,4.39274657368314e-54
"VCX2",1.31717813110906e-57,2.07539556025297,0.192,0.002,2.80875064677695e-53
"GIMAP7",2.23681094532054e-57,-1.17919478714325,0.063,0.307,4.76977565980152e-53
"RAMP2",3.48721895227238e-57,-1.68327266885792,0.049,0.287,7.43614569382562e-53
"FUS",7.06133170195587e-56,-1.04061249107218,0.373,0.603,1.50575837212507e-51
"CD2",1.4028269891338e-55,-1.58810377084575,0.048,0.269,2.99138827162892e-51
"ID2",2.97274970395662e-55,-1.3678438511733,0.324,0.57,6.3390914687171e-51
"IL32",5.91460603802777e-55,-1.8967413384299,0.375,0.582,1.26123059154904e-50
"KRT18",6.42249708234029e-55,1.6185138133055,0.326,0.083,1.36953327783824e-50
"GPC3",6.81087646797562e-55,1.36461271873399,0.227,0.021,1.45235129803112e-50
"GMFG",5.46963972819205e-54,-1.20598940760028,0.284,0.511,1.16634597563967e-49
"SRSF7",9.9682945381364e-54,-1.20477485472647,0.469,0.627,2.12563912731221e-49
"ZFP36",1.03925300319766e-53,-1.23139900594819,0.564,0.709,2.21610310401868e-49
"LDHB",1.57425274280576e-53,-1.02738185446415,0.332,0.553,3.35693654875901e-49
"C3",2.49249034049065e-53,1.35987214900365,0.274,0.052,5.31498640206225e-49
"DNAJA1",2.88664702093738e-53,-1.19459123624887,0.65,0.719,6.15548610744688e-49
"CRIP1",2.51031266730755e-52,-1.37386516671515,0.158,0.404,5.35299073176662e-48
"CD3D",4.84548884137892e-52,-1.92015716289007,0.106,0.328,1.03325204053564e-47
"RBP7",5.46324260559673e-52,-2.00294252273277,0.062,0.292,1.16498185321745e-47
"APOA1",2.09221086215707e-51,2.10727682731044,0.368,0.104,4.46143044246374e-47
"EPAS1",2.36027275694435e-51,-1.14175244427885,0.133,0.388,5.03304562690813e-47
"CRP",2.36215625358899e-51,2.44737068250569,0.188,0.008,5.03706199515316e-47
"CD3E",5.38082078728195e-51,-1.30267838377863,0.045,0.252,1.14740622468e-46
"SPARCL1",2.17155593293557e-50,-1.00740111619681,0.139,0.42,4.63062587139182e-46
"APCS",2.37134549971238e-50,1.4240456112363,0.191,0.011,5.05665714358667e-46
"S100A10",4.59800694925214e-50,-1.08149179836792,0.446,0.642,9.80479001858526e-46
"P4HB",5.41724600610503e-50,1.53921430855733,0.729,0.415,1.15517353834184e-45
"PRAP1",6.85301079792958e-50,1.6816368256005,0.251,0.044,1.4613360225505e-45
"ANGPTL8",3.89202799457114e-49,2.21623424699559,0.171,0.004,8.2993604956235e-45
"REL",4.54346605337569e-49,-1.35915622639291,0.127,0.357,9.68848701221833e-45
"A2M",5.19368313762679e-49,-1.21411785530562,0.189,0.443,1.10750099226754e-44
"EVL",7.19443194943258e-49,-1.14365888281821,0.102,0.327,1.534140668897e-44
"TRAC",2.41009584569627e-48,-1.92503531742384,0.094,0.305,5.13928838136273e-44
"MDK",3.43999127641592e-48,1.70631082741789,0.375,0.137,7.33543739782932e-44
"TMEM176B",5.0428159152732e-48,1.28535086598771,0.294,0.075,1.07533006577286e-43
"SPP1",9.23050103768e-48,1.95074687895969,0.205,0.021,1.96831204127488e-43
"CORO1A",1.09789657932189e-47,-1.74716928223997,0.18,0.391,2.34115466574601e-43
"RAMP3",1.18066157702136e-47,-1.23212434581874,0.034,0.231,2.51764274684034e-43
"FTL",1.54798399510957e-47,1.94974661510001,0.998,0.954,3.30092107117165e-43
"PLPP1",2.87991248951034e-47,-1.56070523062403,0.124,0.358,6.14112539263184e-43
"CCDC85B",5.32424138734716e-47,-1.01630982398707,0.327,0.546,1.13534123343791e-42
"HSPG2",7.6523371240468e-47,-1.19452826544395,0.069,0.289,1.63178436833174e-42
"TMEM176A",1.09085293368571e-46,1.13737936184859,0.268,0.061,2.32613479579141e-42
"EMP1",3.08756681094538e-46,-1.05747125184444,0.059,0.272,6.58392746765993e-42
"RARRES2",5.23403347867165e-46,1.8004362536387,0.359,0.139,1.11610529899194e-41
"GSN",1.67055133883524e-45,-1.08968692476528,0.207,0.457,3.56228367493227e-41
"HBB",3.84301513193434e-45,2.50288728952201,0.266,0.053,8.19484546733678e-41
"LTB",4.94353674484365e-45,-2.49715801160109,0.116,0.323,1.05415977547046e-40
"CLEC14A",8.50650543024312e-45,-1.13671862789717,0.046,0.247,1.81392721794504e-40
"CLU",1.92106775230956e-44,2.07767155341004,0.347,0.126,4.09648487502491e-40
"CREM",4.58605769766074e-44,-1.61541322296776,0.38,0.548,9.77930943449176e-40
"FLT1",1.65174201750527e-43,-1.01825801284372,0.037,0.227,3.52217467812824e-39
"ALB",2.69543869639932e-43,4.04253194740472,0.482,0.252,5.7477534762019e-39
"SERPINH1",3.10517140675696e-43,-1.43323513410908,0.186,0.417,6.62146750776855e-39
"ATF5",9.31316076156453e-43,1.12488600394248,0.264,0.061,1.98593840079602e-38
"BNIP3",1.24182160227262e-42,1.72351327388355,0.313,0.097,2.64806038468613e-38
"IL7R",1.56617744102056e-42,-1.71207964573145,0.045,0.224,3.33971677523225e-38
"ORM2",1.87480026952427e-42,1.43164034960713,0.175,0.015,3.99782409473355e-38
"ID1",3.22882805840974e-42,-1.49347430252313,0.103,0.316,6.88515295175294e-38
"NUPR1",3.29835546588154e-42,2.86033980261341,0.4,0.195,7.03341319544579e-38
"BRI3",8.40238043017683e-42,1.0663563631338,0.289,0.087,1.79172360293091e-37
"GDF15",1.5997287101571e-41,1.58302909609268,0.179,0.019,3.41126150153899e-37
"PLPP3",2.58814377620088e-41,-1.03349895622863,0.053,0.241,5.51895778837076e-37
"CLDN5",1.20562458299008e-40,-1.61584188605941,0.045,0.23,2.57087386076805e-36
"FOS",1.35830527984853e-40,-1.24500041249192,0.728,0.765,2.896450178749e-36
"BAG3",1.92677492416935e-40,-1.51413352749231,0.193,0.394,4.10865484829872e-36
"FGA",2.08142201521729e-40,1.01158049495883,0.192,0.027,4.43842430524935e-36
"APOA2",6.52284808648376e-40,5.70867330425328,0.506,0.322,1.3909321259618e-35
"KRT8",8.76396820439528e-40,1.10030898273985,0.272,0.079,1.86882857990525e-35
"PPP1R15A",1.60487877453667e-39,-1.02962787892703,0.635,0.712,3.42224349882199e-35
"ENG",1.88140941971885e-39,-1.16758078504436,0.086,0.287,4.01191744660847e-35
"HCST",4.67955779671518e-39,-1.11125225486865,0.128,0.341,9.97868904571544e-35
"HSPA1A",4.83942491018734e-39,-1.68991103519974,0.678,0.745,1.03195896784835e-34
"FGG",1.53026907786599e-38,1.43035717865037,0.203,0.035,3.26314578164144e-34
"DEFB1",2.92504872484584e-38,1.25675726279093,0.158,0.014,6.23737390086127e-34
"FGB",2.98761999889287e-38,1.31076589053548,0.211,0.041,6.37080088563915e-34
"CD48",5.77879111539367e-38,-1.02942555384678,0.088,0.273,1.23226941744655e-33
"RBP4",7.49948995978909e-37,1.86582389841171,0.342,0.142,1.59919123902543e-32
"TSC22D1",1.0299683454322e-36,-1.02919926938466,0.198,0.411,2.19630449979961e-32
"DNAJB1",1.78371109876145e-36,-1.32916095690302,0.693,0.747,3.80358554699892e-32
"MTRNR2L1",2.26132637195034e-36,-1.74404594333167,0.209,0.396,4.82205235554692e-32
"SPRY1",3.64038415113457e-36,-1.28062803894392,0.116,0.314,7.76275516387935e-32
"TRBC2",4.17008815800893e-36,-1.48131399820624,0.082,0.254,8.89229598813824e-32
"PTPRC",4.95377848112046e-36,-1.69699299223009,0.176,0.353,1.05634372331413e-31
"LMNA",6.37805406851369e-36,-1.15033864919695,0.521,0.614,1.36005624956986e-31
"LCK",8.85643843794399e-36,-1.03924316529796,0.045,0.203,1.88854693250718e-31
"APOC2",2.58490126379957e-35,1.03115841711376,0.129,0.005,5.51204345492621e-31
"APOH",4.14361385729435e-35,1.49293229695564,0.215,0.049,8.83584218929447e-31
"DNAJA4",6.5184123238028e-35,-1.00485501699142,0.052,0.214,1.38998624392771e-30
"ASGR1",1.50063302017657e-33,1.15158327021008,0.208,0.049,3.19994985222452e-29
"FOSB",9.0658214559004e-32,-1.00053083387181,0.515,0.623,1.9331957672562e-27
"ADIRF",9.4166439412845e-32,-1.34706067723412,0.097,0.28,2.00800515403951e-27
"APOC3",1.43555985248131e-31,3.21570402286232,0.447,0.243,3.06118782943115e-27
"SLC9A3R2",1.75555449036443e-31,-1.09155146891267,0.078,0.251,3.74354439525311e-27
"AHSG",2.44003692848162e-30,2.30201501445008,0.212,0.061,5.20313474629422e-26
"CTSD",5.31535898378093e-30,2.28769492742952,0.551,0.37,1.13344714970145e-25
"HBA1",2.05238109107868e-29,1.86563245581877,0.132,0.014,4.37649743861617e-25
"KLRB1",3.40609450629069e-29,-2.71118472127777,0.091,0.239,7.26315592521427e-25
"MYL9",4.26353771007715e-29,-1.11630841945202,0.141,0.334,9.09156781296852e-25
"IGFBP5",4.32623339801356e-29,-1.31539869963941,0.071,0.231,9.22526009792411e-25
"HSPA1B",4.33206291205349e-29,-1.42324658843351,0.622,0.683,9.23769095366286e-25
"CLEC2D",3.17673525552027e-28,-1.11508369023106,0.091,0.239,6.77407025887143e-24
"TCF4",1.30472122683366e-27,-1.14169781342659,0.272,0.42,2.7821875441001e-23
"CCL20",1.63333699446532e-27,1.3632801231973,0.189,0.048,3.48292780699785e-23
"HSPH1",5.85832542790102e-26,-1.19004870315897,0.47,0.549,1.24922931424561e-21
"GZMA",6.16687418656529e-26,-1.68004850704716,0.063,0.194,1.31502425154318e-21
"DNASE1L3",9.6843798680604e-26,-1.45190653888941,0.037,0.16,2.0650971630652e-21
"HMGB2",1.40581769682004e-25,-1.14866838650363,0.205,0.367,2.99776565669905e-21
"IGLC7",2.49735791715308e-25,1.23672001506631,0.103,0.007,5.32536602253722e-21
"CXCR4",4.43530154831601e-25,-2.09095518033179,0.39,0.468,9.45783702162905e-21
"DNAJB4",7.35811713227881e-25,-1.05251354306119,0.2,0.347,1.56904489728713e-20
"IGHA2",9.90300414563948e-25,-1.40320808132168,0.117,0.014,2.11171660401616e-20
"TRBC1",1.29320880442216e-24,-1.80014725306565,0.089,0.22,2.7576384545498e-20
"IGLL1",2.67025844034508e-24,1.0515266189481,0.103,0.009,5.69405909819186e-20
"CD69",2.94766884736722e-23,-1.67127766685967,0.118,0.25,6.28560905012585e-19
"TTR",3.85899916692314e-21,1.32811115278409,0.259,0.118,8.2289298235469e-17
"DDT",8.83842437540927e-20,1.36375815248306,0.538,0.392,1.88470561381227e-15
"SOCS3",2.14682448067972e-19,-1.03809710205957,0.402,0.482,4.57788852260144e-15
"RARRES3",3.45679814044159e-19,-1.0280405700325,0.19,0.307,7.37127635467765e-15
"CCL5",1.02651841934609e-18,-2.14945828452781,0.12,0.233,2.18894787741359e-14
"HSPB1",3.5822163060649e-18,-1.13778176341323,0.833,0.776,7.63871805105279e-14
"RAC2",4.55980662274434e-18,-1.05223721303315,0.161,0.267,9.72333164234004e-14
"ITM2A",1.53673169115163e-17,-1.18478960303596,0.28,0.365,3.27692665821174e-13
"C1QA",4.61914588903251e-17,2.02774009347934,0.132,0.039,9.84986669377292e-13
"C1QB",6.54788739303917e-17,2.12157015873967,0.134,0.04,1.39627150769167e-12
"EGR1",1.64613330415767e-16,-1.07766821744155,0.274,0.39,3.51021465778582e-12
"C1QC",1.82773581600169e-16,1.63204629123453,0.106,0.025,3.89746385404201e-12
"RGCC",8.73853573650068e-16,-1.02244382573292,0.196,0.299,1.8634053604514e-11
"IL2RG",1.57095228666638e-14,-1.02263033435315,0.18,0.269,3.34989865608738e-10
"CRYAB",3.97020319684316e-13,-1.1310308376797,0.059,0.146,8.46606129694835e-09
"CSTB",6.30367813800754e-13,1.67217975817079,0.62,0.476,1.34419632614873e-08
"TM4SF1",2.36087252174972e-12,-1.00061726044825,0.22,0.333,5.03432456537911e-08
"HILPDA",3.84068112908528e-12,1.18460922565221,0.131,0.053,8.18986843966145e-08
"SEPP1",2.92386161509169e-11,1.29016967970184,0.423,0.359,6.23484250802152e-07
"HSPA6",5.39155107514799e-08,-1.8749519622713,0.256,0.32,0.00114969435126456
"NKG7",1.04181340872714e-07,-1.48073693564463,0.086,0.145,0.00222156291276975
"CCL3",3.79076996407872e-07,1.31065448583384,0.129,0.068,0.00808343787140146
